event_id,timestamp,user_id,role,department,file_id,file_type,file_sensitivity,action,device_id,country,city,app,is_external_share,share_scope,permission_change,bytes,label,intent,scenario_id
evt_00001143,2026-05-27 05:47:50,user_029,it_admin,it,file_00441,docx,low,view,it_admin_device_29_2,NZ,Wellington,desktop,0,none,0,5887,0,normal,
evt_00000727,2026-05-27 06:00:47,user_016,office_staff,operations,file_00045,xlsx,low,share,office_staff_device_16_1,NZ,Auckland,web,0,internal,0,1595,0,normal,
evt_00000802,2026-05-27 06:01:01,user_018,office_staff,operations,file_00097,pptx,medium,share,office_staff_device_18_0,NZ,Auckland,mobile,0,internal,0,1543,0,normal,
evt_00000326,2026-05-27 06:01:37,user_007,office_staff,operations,file_00061,docx,low,edit,office_staff_device_7_0,NZ,Auckland,web,0,none,0,49664,0,normal,
evt_00000585,2026-05-27 06:02:15,user_013,office_staff,operations,file_00088,xlsx,high,view,office_staff_device_13_1,NZ,Auckland,web,0,none,0,7713,0,normal,
evt_00000881,2026-05-27 06:03:39,user_020,office_staff,operations,file_00002,docx,low,view,office_staff_device_20_0,NZ,Wellington,web,0,none,0,1384,0,normal,
evt_00001003,2026-05-27 06:06:13,user_024,manager,management,file_00178,xlsx,high,view,manager_device_24_0,NZ,Auckland,web,0,none,0,962,0,normal,
evt_00000189,2026-05-27 06:07:08,user_004,office_staff,operations,file_00055,docx,medium,edit,office_staff_device_4_1,NZ,Auckland,web,0,none,0,38462,0,normal,
evt_00000307,2026-05-27 06:08:48,user_007,office_staff,operations,file_00249,docx,medium,edit,office_staff_device_7_0,AU,Sydney,mobile,0,none,0,19751,0,normal,
evt_00000724,2026-05-27 06:10:15,user_016,office_staff,operations,file_00072,csv,high,download,office_staff_device_16_0,NZ,Christchurch,mobile,0,none,0,658157,0,normal,
evt_00000785,2026-05-27 06:10:17,user_018,office_staff,operations,file_00229,pdf,low,view,office_staff_device_18_0,NZ,Auckland,web,0,none,0,5618,0,normal,
evt_00000718,2026-05-27 06:10:17,user_016,office_staff,operations,file_00370,docx,low,view,office_staff_device_16_0,NZ,Christchurch,web,0,none,0,1189,0,normal,
evt_00000359,2026-05-27 06:11:15,user_008,office_staff,operations,file_00029,xlsx,medium,view,office_staff_device_8_1,NZ,Auckland,desktop,0,none,0,6340,0,normal,
evt_00000904,2026-05-27 06:12:10,user_021,manager,management,file_00157,csv,medium,download,manager_device_21_1,NZ,Auckland,web,0,none,0,2739852,0,normal,
evt_00000717,2026-05-27 06:12:57,user_016,office_staff,operations,file_00229,pdf,low,download,office_staff_device_16_0,NZ,Auckland,web,0,none,0,1230172,0,normal,
evt_00000305,2026-05-27 06:13:51,user_006,office_staff,operations,file_00095,txt,high,view,office_staff_device_6_1,NZ,Auckland,web,0,none,0,2343,0,normal,
evt_00000576,2026-05-27 06:15:04,user_012,office_staff,operations,file_00205,txt,low,edit,office_staff_device_12_1,NZ,Christchurch,web,0,none,0,5284,0,normal,
evt_00000582,2026-05-27 06:16:10,user_013,office_staff,operations,file_00092,pdf,medium,view,office_staff_device_13_1,NZ,Christchurch,web,0,none,0,8637,0,normal,
evt_00000172,2026-05-27 06:16:13,user_004,office_staff,operations,file_00041,csv,high,edit,office_staff_device_4_1,NZ,Auckland,web,0,none,0,3466,0,normal,
evt_00000159,2026-05-27 06:21:05,user_004,office_staff,operations,file_00072,csv,high,edit,office_staff_device_4_1,NZ,Auckland,web,0,none,0,45370,0,normal,
evt_00000973,2026-05-27 06:21:11,user_023,manager,management,file_00308,csv,medium,edit,manager_device_23_2,NZ,Wellington,web,0,none,0,30143,0,normal,
evt_00000196,2026-05-27 06:22:33,user_004,office_staff,operations,file_00018,txt,low,view,office_staff_device_4_0,NZ,Christchurch,web,0,none,0,725,0,normal,
evt_00000047,2026-05-27 06:23:27,user_001,office_staff,operations,file_00010,docx,medium,edit,office_staff_device_1_1,NZ,Auckland,web,0,none,0,23826,0,normal,
evt_00001005,2026-05-27 06:23:42,user_024,manager,management,file_00031,csv,low,share,manager_device_24_1,NZ,Christchurch,desktop,0,internal,0,418,0,normal,
evt_00000664,2026-05-27 06:24:43,user_015,office_staff,operations,file_00083,csv,low,share,office_staff_device_15_1,NZ,Wellington,web,0,internal,0,1792,0,normal,
evt_00000325,2026-05-27 06:24:55,user_007,office_staff,operations,file_00007,docx,low,permission_change,office_staff_device_7_1,AU,Sydney,web,0,none,1,580,0,normal,
evt_00000892,2026-05-27 06:26:35,user_021,manager,management,file_00199,txt,low,edit,manager_device_21_2,NZ,Wellington,web,0,none,0,27486,0,normal,
evt_00000194,2026-05-27 06:28:29,user_004,office_staff,operations,file_00103,xlsx,low,view,office_staff_device_4_0,NZ,Christchurch,desktop,0,none,0,3429,0,normal,
evt_00000677,2026-05-27 06:32:45,user_015,office_staff,operations,file_00221,docx,medium,download,office_staff_device_15_1,NZ,Wellington,web,0,none,0,1596523,0,normal,
evt_00001046,2026-05-27 06:34:13,user_025,manager,management,file_00391,pptx,low,download,manager_device_25_2,NZ,Auckland,desktop,0,none,0,1048153,0,normal,
evt_00000946,2026-05-27 06:34:24,user_022,manager,management,file_00145,pptx,low,edit,manager_device_22_1,NZ,Auckland,web,0,none,0,19168,0,normal,
evt_00000360,2026-05-27 06:36:12,user_008,office_staff,operations,file_00031,csv,low,download,office_staff_device_8_1,NZ,Auckland,web,0,none,0,1193395,0,normal,
evt_00000623,2026-05-27 06:36:38,user_014,office_staff,operations,file_00140,xlsx,low,view,office_staff_device_14_0,NZ,Christchurch,web,0,none,0,5173,0,normal,
evt_00000869,2026-05-27 06:38:54,user_020,office_staff,operations,file_00112,txt,low,edit,office_staff_device_20_0,NZ,Wellington,web,0,none,0,32530,0,normal,
evt_00000031,2026-05-27 06:42:45,user_001,office_staff,operations,file_00089,pptx,low,edit,office_staff_device_1_0,AU,Sydney,web,0,none,0,39392,0,normal,
