event_id,timestamp,user_id,role,department,file_id,file_type,file_sensitivity,action,device_id,country,city,app,is_external_share,share_scope,permission_change,bytes,label,intent,scenario_id,hour,weekday,is_weekend,new_device,new_city,off_hours,bytes_zscore,is_external_event,events_10m,views_10m,downloads_10m,edits_10m,deletes_10m,renames_10m,bytes_10m,files_touched_10m,shares_30m,external_shares_30m,permission_changes_30m
evt_00000047,2026-05-27 06:23:27,user_001,office_staff,operations,file_00010,docx,medium,edit,office_staff_device_1_1,NZ,Auckland,web,0,none,0,23826,0,normal,,6,2,0,0,0,1,-0.2810967251449345,0,1,0,0,1,0,0,23826,1,0,0,0
evt_00000031,2026-05-27 06:42:45,user_001,office_staff,operations,file_00089,pptx,low,edit,office_staff_device_1_0,AU,Sydney,web,0,none,0,39392,0,normal,,6,2,0,0,0,1,-0.2530941099503007,0,1,0,0,1,0,0,39392,1,0,0,0
evt_00000039,2026-05-27 06:57:22,user_001,office_staff,operations,file_00008,txt,low,view,office_staff_device_1_0,NZ,Auckland,desktop,0,none,0,9258,0,normal,,6,2,0,0,0,1,-0.30730397801371423,0,1,1,0,0,0,0,9258,1,0,0,0
evt_00000002,2026-05-27 08:35:12,user_001,office_staff,operations,file_00010,docx,medium,view,office_staff_device_1_0,AU,Sydney,web,0,none,0,3011,0,normal,,8,2,0,0,0,0,-0.31854208267264245,0,1,1,0,0,0,0,3011,1,0,0,0
evt_00000023,2026-05-27 08:43:41,user_001,office_staff,operations,file_00019,xlsx,low,view,office_staff_device_1_0,NZ,Auckland,web,0,none,0,7686,0,normal,,8,2,0,0,0,0,-0.31013194352097134,0,2,2,0,0,0,0,10697,2,0,0,0
evt_00000028,2026-05-27 08:47:20,user_001,office_staff,operations,file_00078,pptx,low,view,office_staff_device_1_0,NZ,Auckland,web,0,none,0,6827,0,normal,,8,2,0,0,0,0,-0.3116772503725832,0,2,2,0,0,0,0,14513,2,0,0,0
evt_00000060,2026-05-27 08:54:56,user_001,office_staff,operations,file_00100,docx,high,view,office_staff_device_1_1,AU,Sydney,web,0,none,0,1156,0,normal,,8,2,0,0,0,0,-0.32187915392961575,0,2,2,0,0,0,0,7983,2,0,0,0
evt_00000032,2026-05-27 09:00:29,user_001,office_staff,operations,file_00041,csv,high,edit,office_staff_device_1_0,NZ,Auckland,web,0,none,0,5164,0,normal,,9,2,0,0,0,0,-0.3146689212622579,0,2,1,0,1,0,0,6320,2,0,0,0
evt_00000051,2026-05-27 09:18:32,user_001,office_staff,operations,file_00104,pdf,low,delete,office_staff_device_1_0,AU,Sydney,desktop,0,none,0,705,0,normal,,9,2,0,0,0,0,-0.3226904850007181,0,1,0,0,0,1,0,705,1,0,0,0
evt_00000006,2026-05-27 09:24:17,user_001,office_staff,operations,file_00028,pdf,low,permission_change,office_staff_device_1_1,AU,Sydney,web,0,none,1,143,0,normal,,9,2,0,0,0,0,-0.32370150065916503,0,2,0,0,0,1,0,848,2,0,0,1
evt_00000055,2026-05-27 09:29:08,user_001,office_staff,operations,file_00249,docx,medium,edit,office_staff_device_1_1,AU,Sydney,mobile,0,none,0,13314,0,normal,,9,2,0,0,0,0,-0.30000739525453174,0,2,0,0,1,0,0,13457,2,0,0,1
evt_00000007,2026-05-27 09:38:40,user_001,office_staff,operations,file_00025,docx,low,edit,office_staff_device_1_0,NZ,Auckland,web,0,none,0,41952,0,normal,,9,2,0,0,0,0,-0.24848877171965295,0,2,0,0,2,0,0,55266,2,0,0,1
evt_00000020,2026-05-27 09:45:40,user_001,office_staff,operations,file_00022,pdf,low,view,office_staff_device_1_0,NZ,Auckland,web,0,none,0,1630,0,normal,,9,2,0,0,0,0,-0.32102644677284736,0,2,1,0,1,0,0,43582,2,0,0,1
evt_00000011,2026-05-27 09:48:03,user_001,office_staff,operations,file_00031,csv,low,permission_change,office_staff_device_1_0,NZ,Auckland,web,0,none,1,552,0,normal,,9,2,0,0,0,0,-0.32296572591840916,0,3,1,0,1,0,0,44134,3,0,0,2
evt_00000054,2026-05-27 09:49:27,user_001,office_staff,operations,file_00090,docx,medium,edit,office_staff_device_1_0,NZ,Auckland,desktop,0,none,0,11735,0,normal,,9,2,0,0,0,0,-0.3028479534835133,0,3,1,0,1,0,0,13917,3,0,0,2
evt_00000033,2026-05-27 09:56:15,user_001,office_staff,operations,file_00274,xlsx,high,view,office_staff_device_1_1,AU,Sydney,web,0,none,0,2737,0,normal,,9,2,0,0,0,0,-0.3190349977801415,0,3,1,0,1,0,0,15024,3,0,0,1
evt_00000017,2026-05-27 10:08:42,user_001,office_staff,operations,file_00173,xlsx,medium,view,office_staff_device_1_0,AU,Sydney,web,0,none,0,8938,0,normal,,10,2,0,0,0,0,-0.3078796452925452,0,1,1,0,0,0,0,8938,1,0,0,1
evt_00000014,2026-05-27 10:32:58,user_001,office_staff,operations,file_00011,pdf,low,view,office_staff_device_1_1,NZ,Auckland,desktop,0,none,0,1463,0,normal,,10,2,0,0,0,0,-0.3213268731339873,0,1,1,0,0,0,0,1463,1,0,0,0
evt_00000038,2026-05-27 10:34:02,user_001,office_staff,operations,file_00090,docx,medium,view,office_staff_device_1_0,AU,Sydney,web,0,none,0,5065,0,normal,,10,2,0,0,0,0,-0.3148470183266462,0,2,2,0,0,0,0,6528,2,0,0,0
evt_00000015,2026-05-27 10:34:49,user_001,office_staff,operations,file_00019,xlsx,low,view,office_staff_device_1_1,NZ,Auckland,web,0,none,0,8623,0,normal,,10,2,0,0,0,0,-0.3084463177701444,0,3,3,0,0,0,0,15151,3,0,0,0
evt_00000037,2026-05-27 10:40:16,user_001,office_staff,operations,file_00071,pdf,high,view,office_staff_device_1_1,NZ,Auckland,web,0,none,0,6914,0,normal,,10,2,0,0,0,0,-0.31152074083115106,0,4,4,0,0,0,0,22065,4,0,0,0
evt_00000003,2026-05-27 10:44:27,user_001,office_staff,operations,file_00231,csv,low,share,office_staff_device_1_1,AU,Sydney,web,0,internal,0,953,0,normal,,10,2,0,0,0,0,-0.3222443428596241,0,3,2,0,0,0,0,16490,3,1,0,0
evt_00000040,2026-05-27 10:59:59,user_001,office_staff,operations,file_00347,pptx,medium,edit,office_staff_device_1_0,NZ,Auckland,mobile,0,none,0,19400,0,normal,,10,2,0,0,0,0,-0.28905892319526527,0,1,0,0,1,0,0,19400,1,1,0,0
evt_00000052,2026-05-27 11:09:01,user_001,office_staff,operations,file_00034,xlsx,low,edit,office_staff_device_1_0,NZ,Auckland,mobile,0,none,0,7752,0,normal,,11,2,0,0,0,0,-0.31001321214471245,0,2,0,0,2,0,0,27152,2,1,0,0
evt_00000042,2026-05-27 11:12:52,user_001,office_staff,operations,file_00052,txt,low,share,office_staff_device_1_1,AU,Sydney,web,0,internal,0,688,0,normal,,11,2,0,0,0,0,-0.322721067324906,0,2,0,0,1,0,0,8440,2,2,0,0
evt_00000001,2026-05-27 11:14:08,user_001,office_staff,operations,file_00045,xlsx,low,view,office_staff_device_1_0,NZ,Auckland,web,0,none,0,6684,0,normal,,11,2,0,0,0,0,-0.3119345016878108,0,3,1,0,1,0,0,15124,3,2,0,0
evt_00000024,2026-05-27 11:34:28,user_001,office_staff,operations,file_00083,csv,low,share,office_staff_device_1_1,NZ,Auckland,web,0,internal,0,1422,0,normal,,11,2,0,0,0,0,-0.3214006305040875,0,1,0,0,0,0,0,1422,1,2,0,0
evt_00000030,2026-05-27 11:37:38,user_001,office_staff,operations,file_00007,docx,low,view,office_staff_device_1_0,NZ,Auckland,web,0,none,0,683,0,normal,,11,2,0,0,0,0,-0.32273006212613775,0,2,1,0,0,0,0,2105,2,2,0,0
evt_00000053,2026-05-27 11:45:44,user_001,office_staff,operations,file_00096,docx,low,download,office_staff_device_1_1,AU,Sydney,web,0,none,0,307906,0,normal,,11,2,0,0,0,0,0.22995190163725565,0,2,1,1,0,0,0,308589,2,1,0,0
evt_00000026,2026-05-27 11:55:25,user_001,office_staff,operations,file_00445,pdf,high,view,office_staff_device_1_0,NZ,Auckland,web,0,none,0,8592,0,normal,,11,2,0,0,0,0,-0.30850208553778113,0,2,1,1,0,0,0,316498,2,1,0,0
evt_00000009,2026-05-27 11:58:36,user_001,office_staff,operations,file_00026,txt,low,view,office_staff_device_1_0,AU,Sydney,desktop,0,none,0,2966,0,normal,,11,2,0,0,0,0,-0.3186230358837281,0,2,2,0,0,0,0,11558,2,1,0,0
evt_00000046,2026-05-27 12:02:45,user_001,office_staff,operations,file_00420,pdf,medium,view,office_staff_device_1_0,AU,Sydney,web,0,none,0,828,0,normal,,12,2,0,0,0,0,-0.32246921289041747,0,3,3,0,0,0,0,12386,3,1,0,0
evt_00000010,2026-05-27 12:08:15,user_001,office_staff,operations,file_00110,xlsx,low,share,office_staff_device_1_1,AU,Sydney,desktop,0,internal,0,917,0,normal,,12,2,0,0,0,0,-0.3223091054284926,0,3,2,0,0,0,0,4711,3,1,0,0
evt_00000021,2026-05-27 12:42:31,user_001,office_staff,operations,file_00461,pdf,medium,view,office_staff_device_1_0,NZ,Auckland,desktop,0,none,0,7594,0,normal,,12,2,0,0,0,0,-0.3102974478636352,0,1,1,0,0,0,0,7594,1,0,0,0
evt_00000057,2026-05-27 12:49:49,user_001,office_staff,operations,file_00005,docx,medium,view,office_staff_device_1_0,AU,Sydney,web,0,none,0,9403,0,normal,,12,2,0,0,0,0,-0.30704312877799395,0,2,2,0,0,0,0,16997,2,0,0,0
evt_00000044,2026-05-27 13:01:07,user_001,office_staff,operations,file_00225,docx,low,edit,office_staff_device_1_0,AU,Sydney,web,0,none,0,33819,0,normal,,13,2,0,0,0,0,-0.26311971540319123,0,1,0,0,1,0,0,33819,1,0,0,0
evt_00000013,2026-05-27 13:07:18,user_001,office_staff,operations,file_00460,csv,low,share,office_staff_device_1_0,AU,Sydney,web,0,internal,0,1821,0,normal,,13,2,0,0,0,0,-0.3206828453657951,0,2,0,0,1,0,0,35640,2,1,0,0
evt_00000043,2026-05-27 13:17:55,user_001,office_staff,operations,file_00103,xlsx,low,view,office_staff_device_1_1,NZ,Auckland,web,0,none,0,9868,0,normal,,13,2,0,0,0,0,-0.3062066122634427,0,1,1,0,0,0,0,9868,1,1,0,0
evt_00000050,2026-05-27 13:29:28,user_001,office_staff,operations,file_00076,csv,medium,view,office_staff_device_1_0,AU,Sydney,web,0,none,0,632,0,normal,,13,2,0,0,0,0,-0.32282180909870145,0,1,1,0,0,0,0,632,1,1,0,0
evt_00000005,2026-05-27 13:36:12,user_001,office_staff,operations,file_00096,docx,low,view,office_staff_device_1_0,NZ,Auckland,desktop,0,none,0,4219,0,normal,,13,2,0,0,0,0,-0.31636893869505556,0,2,2,0,0,0,0,4851,2,1,0,0
evt_00000004,2026-05-27 13:38:16,user_001,office_staff,operations,file_00422,xlsx,medium,view,office_staff_device_1_1,NZ,Auckland,web,0,none,0,724,0,normal,,13,2,0,0,0,0,-0.3226563047560375,0,3,3,0,0,0,0,5575,3,0,0,0
evt_00000045,2026-05-27 13:46:50,user_001,office_staff,operations,file_00056,docx,low,view,office_staff_device_1_1,AU,Sydney,web,0,none,0,1735,0,normal,,13,2,0,0,0,0,-0.32083755594698093,0,2,2,0,0,0,0,2459,2,0,0,0
evt_00000041,2026-05-27 13:50:59,user_001,office_staff,operations,file_00056,docx,low,share,office_staff_device_1_0,AU,Sydney,web,0,internal,0,420,0,normal,,13,2,0,0,0,0,-0.32320318867092696,0,2,1,0,0,0,0,2155,1,1,0,0
evt_00000058,2026-05-27 13:57:34,user_001,office_staff,operations,file_00079,docx,high,view,office_staff_device_1_0,NZ,Auckland,web,0,none,0,3485,0,normal,,13,2,0,0,0,0,-0.3176893755158741,0,2,1,0,0,0,0,3905,2,1,0,0
evt_00000059,2026-05-27 14:26:21,user_001,office_staff,operations,file_00162,txt,medium,view,office_staff_device_1_1,AU,Sydney,web,0,none,0,5012,0,normal,,14,2,0,0,0,0,-0.3149423632197026,0,1,1,0,0,0,0,5012,1,0,0,0
evt_00000012,2026-05-27 14:38:29,user_001,office_staff,operations,file_00034,xlsx,low,view,office_staff_device_1_0,AU,Sydney,desktop,0,none,0,4214,0,normal,,14,2,0,0,0,0,-0.3163779334962873,0,1,1,0,0,0,0,4214,1,0,0,0
evt_00000049,2026-05-27 14:43:47,user_001,office_staff,operations,file_00373,pptx,low,view,office_staff_device_1_1,NZ,Auckland,web,0,none,0,5712,0,normal,,14,2,0,0,0,0,-0.31368309104725983,0,2,2,0,0,0,0,9926,2,0,0,0
evt_00000019,2026-05-27 15:07:15,user_001,office_staff,operations,file_00034,xlsx,low,view,office_staff_device_1_0,NZ,Auckland,web,0,none,0,5476,0,normal,,15,2,0,0,0,0,-0.3141076456653977,0,1,1,0,0,0,0,5476,1,0,0,0
evt_00000036,2026-05-27 15:16:57,user_001,office_staff,operations,file_00294,docx,low,edit,office_staff_device_1_0,NZ,Auckland,web,0,none,0,27791,0,normal,,15,2,0,0,0,0,-0.2739638477681695,0,2,1,0,1,0,0,33267,2,0,0,0
evt_00000027,2026-05-27 15:18:27,user_001,office_staff,operations,file_00087,pdf,medium,view,office_staff_device_1_0,AU,Sydney,web,0,none,0,7889,0,normal,,15,2,0,0,0,0,-0.3097667545909629,0,2,1,0,1,0,0,35680,2,0,0,0
evt_00000022,2026-05-27 15:51:26,user_001,office_staff,operations,file_00032,pdf,low,edit,office_staff_device_1_0,NZ,Auckland,web,0,none,0,22093,0,normal,,15,2,0,0,0,0,-0.2842143232518534,0,1,0,0,1,0,0,22093,1,0,0,0
evt_00000034,2026-05-27 16:00:42,user_001,office_staff,operations,file_00099,csv,low,download,office_staff_device_1_0,AU,Sydney,desktop,0,none,0,1811396,0,normal,,16,2,0,0,0,0,2.9346706424171596,0,2,0,1,1,0,0,1833489,2,0,0,0
evt_00000029,2026-05-27 16:05:54,user_001,office_staff,operations,file_00042,txt,medium,share,office_staff_device_1_0,NZ,Auckland,web,0,internal,0,155,0,normal,,16,2,0,0,0,0,-0.32367991313620886,0,2,0,1,0,0,0,1811551,2,1,0,0
evt_00000025,2026-05-27 16:06:03,user_001,office_staff,operations,file_00300,pptx,low,view,office_staff_device_1_0,NZ,Auckland,desktop,0,none,0,1514,0,normal,,16,2,0,0,0,0,-0.3212351261614236,0,3,1,1,0,0,0,1813065,3,1,0,0
evt_00000035,2026-05-27 16:09:17,user_001,office_staff,operations,file_00037,pptx,medium,view,office_staff_device_1_0,AU,Sydney,desktop,0,none,0,8846,0,normal,,16,2,0,0,0,0,-0.30804514963520907,0,4,2,1,0,0,0,1821911,4,1,0,0
evt_00000008,2026-05-27 16:14:43,user_001,office_staff,operations,file_00103,xlsx,low,permission_change,office_staff_device_1_0,AU,Sydney,web,0,none,1,593,0,normal,,16,2,0,0,0,0,-0.322891968548309,0,4,2,0,0,0,0,11108,4,1,0,1
evt_00000056,2026-05-27 16:27:53,user_001,office_staff,operations,file_00039,docx,low,edit,office_staff_device_1_0,AU,Sydney,desktop,0,none,0,23534,0,normal,,16,2,0,0,0,0,-0.2816220215368677,0,1,0,0,1,0,0,23534,1,1,0,1
evt_00000018,2026-05-27 16:48:46,user_001,office_staff,operations,file_00045,xlsx,low,view,office_staff_device_1_1,NZ,Auckland,web,0,none,0,5575,0,normal,,16,2,0,0,0,0,-0.31392954860100936,0,1,1,0,0,0,0,5575,1,0,0,0
evt_00000016,2026-05-27 18:15:03,user_001,office_staff,operations,file_00108,pdf,high,view,office_staff_device_1_0,NZ,Auckland,web,0,none,0,4037,0,normal,,18,2,0,0,0,1,-0.31669634945989067,0,1,1,0,0,0,0,4037,1,0,0,0
evt_00000048,2026-05-27 18:42:26,user_001,office_staff,operations,file_00038,txt,low,view,office_staff_device_1_1,AU,Sydney,desktop,0,none,0,4555,0,normal,,18,2,0,0,0,1,-0.3157644880522831,0,1,1,0,0,0,0,4555,1,0,0,0
evt_00001173,2026-05-28 06:07:29,user_001,office_staff,operations,file_00036,txt,low,view,office_staff_device_1_0,NZ,Auckland,web,0,none,0,8362,0,normal,,6,3,0,0,0,1,-0.3089158463944409,0,1,1,0,0,0,0,8362,1,0,0,0
evt_00001177,2026-05-28 06:10:33,user_001,office_staff,operations,file_00077,docx,high,view,office_staff_device_1_0,AU,Sydney,web,0,none,0,5070,0,normal,,6,3,0,0,0,1,-0.31483802352541446,0,2,2,0,0,0,0,13432,2,0,0,0
evt_00001202,2026-05-28 06:49:25,user_001,office_staff,operations,file_00041,csv,high,view,office_staff_device_1_0,NZ,Auckland,web,0,none,0,821,0,normal,,6,3,0,0,0,1,-0.3224818056121419,0,1,1,0,0,0,0,821,1,0,0,0
evt_00001213,2026-05-28 08:38:22,user_001,office_staff,operations,file_00030,txt,low,view,office_staff_device_1_0,AU,Sydney,web,0,none,0,9656,0,normal,,8,3,0,0,0,0,-0.3065879918356682,0,1,1,0,0,0,0,9656,1,0,0,0
evt_00001186,2026-05-28 08:45:21,user_001,office_staff,operations,file_00120,docx,low,view,office_staff_device_1_1,NZ,Auckland,web,0,none,0,5834,0,normal,,8,3,0,0,0,0,-0.31346361789720556,0,2,2,0,0,0,0,15490,2,0,0,0
evt_00001203,2026-05-28 09:09:29,user_001,office_staff,operations,file_00428,txt,medium,view,office_staff_device_1_0,NZ,Auckland,web,0,none,0,7548,0,normal,,9,3,0,0,0,0,-0.3103802000349672,0,1,1,0,0,0,0,7548,1,0,0,0
evt_00001175,2026-05-28 09:13:43,user_001,office_staff,operations,file_00111,docx,high,view,office_staff_device_1_1,AU,Sydney,desktop,0,none,0,1264,0,normal,,9,3,0,0,0,0,-0.3216848662230103,0,2,2,0,0,0,0,8812,2,0,0,0
evt_00001208,2026-05-28 09:34:06,user_001,office_staff,operations,file_00046,csv,high,view,office_staff_device_1_0,AU,Sydney,desktop,0,none,0,4630,0,normal,,9,3,0,0,0,0,-0.31562956603380704,0,1,1,0,0,0,0,4630,1,0,0,0
evt_00001188,2026-05-28 09:36:57,user_001,office_staff,operations,file_00073,pdf,low,share,office_staff_device_1_1,AU,Sydney,web,0,internal,0,295,0,normal,,9,3,0,0,0,0,-0.3234280587017203,0,2,1,0,0,0,0,4925,2,1,0,0
evt_00001207,2026-05-28 09:43:03,user_001,office_staff,operations,file_00038,txt,low,edit,office_staff_device_1_0,NZ,Auckland,web,0,none,0,21188,0,normal,,9,3,0,0,0,0,-0.28584238227479725,0,3,1,0,1,0,0,26113,3,1,0,0
evt_00001170,2026-05-28 10:01:39,user_001,office_staff,operations,file_00057,xlsx,low,view,office_staff_device_1_1,NZ,Auckland,web,0,none,0,1753,0,normal,,10,3,0,0,0,0,-0.3208051746625467,0,1,1,0,0,0,0,1753,1,1,0,0
evt_00001194,2026-05-28 10:06:20,user_001,office_staff,operations,file_00089,pptx,low,view,office_staff_device_1_0,AU,Sydney,web,0,none,0,3046,0,normal,,10,3,0,0,0,0,-0.3184791190640203,0,2,2,0,0,0,0,4799,2,1,0,0
evt_00001178,2026-05-28 10:13:55,user_001,office_staff,operations,file_00059,docx,high,view,office_staff_device_1_0,AU,Sydney,desktop,0,none,0,9292,0,normal,,10,3,0,0,0,0,-0.30724281336533843,0,2,2,0,0,0,0,12338,2,0,0,0
evt_00001179,2026-05-28 10:17:17,user_001,office_staff,operations,file_00016,pptx,low,view,office_staff_device_1_0,AU,Sydney,mobile,0,none,0,683,0,normal,,10,3,0,0,0,0,-0.32273006212613775,0,2,2,0,0,0,0,9975,2,0,0,0
evt_00001168,2026-05-28 10:25:57,user_001,office_staff,operations,file_00061,docx,low,view,office_staff_device_1_0,AU,Sydney,web,0,none,0,4309,0,normal,,10,3,0,0,0,0,-0.3162070322728844,0,2,2,0,0,0,0,4992,2,0,0,0
evt_00001211,2026-05-28 11:10:20,user_001,office_staff,operations,file_00304,txt,low,edit,office_staff_device_1_0,NZ,Auckland,web,0,none,0,29504,0,normal,,11,3,0,0,0,0,-0.2708822288661775,0,1,0,0,1,0,0,29504,1,0,0,0
evt_00001200,2026-05-28 11:31:06,user_001,office_staff,operations,file_00001,xlsx,low,view,office_staff_device_1_0,AU,Sydney,desktop,0,none,0,2244,0,normal,,11,3,0,0,0,0,-0.3199218851815904,0,1,1,0,0,0,0,2244,1,0,0,0
evt_00001199,2026-05-28 11:44:04,user_001,office_staff,operations,file_00050,txt,low,download,office_staff_device_1_1,NZ,Auckland,web,0,none,0,2632100,0,normal,,11,3,0,0,0,0,4.411084512434939,0,1,0,1,0,0,0,2632100,1,0,0,0
evt_00001209,2026-05-28 11:46:52,user_001,office_staff,operations,file_00005,docx,medium,view,office_staff_device_1_1,AU,Sydney,web,0,none,0,9941,0,normal,,11,3,0,0,0,0,-0.30607528816545937,0,2,1,1,0,0,0,2642041,2,0,0,0
